OBJECTID,Metro_Buff,CBG_id,Num_Metro,Bus_Buff,Shape_Length,Shape_Area,Num_Bus,Centroid_X,Centroid_Y,BlockGroupArea
4726,1,360470531004,0,1,0.006244801091124,0.000001858325074,0,188.802856909452860,36.958295917938088,0.006733724037050
4727,1,360470532001,1,1,0.013537000327464,0.000006891763047,1,188.454230020889870,31.837248282362314,0.025000189270196
4728,1,360470532002,1,1,0.015467719421131,0.000011652997107,2,188.527832695774660,31.634356102024000,0.042273770972819
4729,1,360470533005,0,1,0.012000811051130,0.000006498072998,0,188.595747022011320,37.157441605269042,0.023545058903936
4730,1,360470534001,0,1,0.011594809347070,0.000004520981974,0,188.440287385749170,31.469445054594988,0.016401374527276
4731,1,360470534003,0,1,0.011599485236998,0.000004519282972,0,188.342768753053970,31.455434607349702,0.016395260248791
4732,1,360470534004,0,1,0.011746048338838,0.000004880516212,3,188.292135863825760,31.448221261149456,0.017705785879432
4733,1,360470535002,0,1,0.007158357597462,0.000003071111000,0,188.486026811988640,37.128441872226261,0.011127914862805
4734,1,360470535003,0,1,0.007413134187296,0.000003273225793,2,188.426608514822530,37.207411581269845,0.011860042670024
4735,1,360470535004,0,1,0.012324000080294,0.000004847706907,1,188.385990226332130,37.286306090653405,0.017564595874362
4736,1,360470538001,0,1,0.009177831685028,0.000005231065422,2,188.706802388455880,31.255606797637441,0.018978315477109
4737,1,360470278001,1,1,0.011268680718219,0.000007302004645,1,186.427303791428610,30.468947408021798,0.026496169676726
4738,1,360470278002,0,1,0.013024546044214,0.000009764102158,6,186.286755300156190,30.302113223085662,0.035431385866707
4739,1,360470280002,0,1,0.012215423207342,0.000008679422081,4,186.145800996078320,30.124397077753354,0.031496694551749
4740,1,360470281001,0,1,0.008871087084058,0.000004379202290,1,189.632749432096630,36.358685309564208,0.015870287806303
4741,1,360470584001,0,1,0.013012861701647,0.000006272766863,0,188.655090723827840,29.531889737762818,0.022766068541995
4742,1,360470584002,0,1,0.016164502523137,0.000013754335524,2,188.552697520176110,29.473501455913969,0.049919922711172
4743,1,360470586002,0,1,0.012439031531362,0.000009392391606,0,188.804911465047720,29.453907324094370,0.034088906940931
4744,1,360470588001,0,1,0.016508582389703,0.000012614756517,4,188.570327397210430,29.206176334346150,0.045786628696022
4745,1,360470590001,0,1,0.017700370230860,0.000016880839643,4,188.794445413774240,29.209799389787584,0.061270747669732
4746,1,360470592001,0,1,0.009180981860205,0.000005238408535,1,188.943465514789070,29.621283873741607,0.019011640955011
4747,1,360470592002,0,1,0.014880232907630,0.000011363441162,2,188.963524705465010,29.377052022105772,0.041243275816381
4748,1,360470594016,0,1,0.013125412817826,0.000007024242018,2,189.050854107914720,29.586222920816436,0.025493153654354
4749,1,360470600005,0,1,0.010713184499934,0.000006986039564,2,189.006783232319150,29.019676401737605,0.025357534276349
4750,1,360470606001,1,1,0.017733298430611,0.000011603710181,5,188.813148313663900,28.974559241545638,0.042118988614377
4751,1,360470608001,0,1,0.049422566121477,0.000035403848831,8,189.248747956092840,28.801377646588755,0.128512394820504
4752,1,360470608002,0,1,0.010688951485092,0.000006283816555,0,188.615666283947830,28.788906199676561,0.022809858983150
4753,1,360470608003,0,1,0.018830871789523,0.000013513335931,5,188.881110263362810,28.769936537319641,0.049053186252616
4754,1,360470610021,0,1,0.020097869244883,0.000012742598607,2,188.752841090007820,28.198400208449637,0.046260173875980
4755,1,360470610022,0,1,0.013512608636096,0.000010835439489,2,188.653421782378530,28.302178053348545,0.039335970127076
4756,1,360470610041,0,1,0.013821814822747,0.000005530161344,2,188.629839288343390,28.512353164572030,0.020075799374960
4757,1,360470610045,0,1,0.007300143902512,0.000003180288300,1,188.704417080724450,28.436568497846896,0.011545118662550
4758,1,360470001001,0,1,0.015279215246925,0.000011750130436,2,186.663320451011340,36.877655682212357,0.042577978210364
4759,1,360470001003,0,1,0.010495892462999,0.000005865705399,1,186.792162858120520,36.796944881608844,0.021255375858180
4760,1,360470001004,0,1,0.009934438650142,0.000004069245338,3,186.843574735071570,36.710638885172933,0.014745863127518
4761,1,360470002001,0,1,0.029221042623396,0.000031044427509,13,185.834537725115010,33.572159425643328,0.112573274728044
4762,1,360470003012,0,1,0.007641580723878,0.000002554156930,0,186.655054222726850,36.616117665364555,0.009255803396175
4763,1,360470003014,0,1,0.012454195822775,0.000006981538843,0,186.481896090061010,36.436103433217610,0.025300762213366
4764,1,360470003015,0,1,0.013059921814003,0.000008599718708,0,186.526134114905460,36.624764864926618,0.031163666906519
4765,1,360470005012,0,1,0.005703635358497,0.000001974766702,0,186.682845319597590,36.494499844164274,0.007156370613206
4766,1,360470005013,0,1,0.007077411013227,0.000003025225795,0,186.647432157763660,36.396716713021291,0.010963377409381
4767,1,360470005021,0,1,0.009922647017020,0.000005624028946,1,186.817371367766980,36.523714107474120,0.020380846785109
4768,1,360470007002,0,1,0.008687803663776,0.000004461685118,0,186.583898638036490,36.286609404634440,0.016169445881574
4769,1,360470009001,2,1,0.015572811443424,0.000011419331571,4,186.863100648176410,36.278675140824305,0.041384489384248
4770,1,360470538003,0,1,0.013607768282199,0.000007050973128,1,188.624130622500840,31.131444499176325,0.025581613651091
4771,1,360470542002,0,1,0.014509160115304,0.000007768180566,2,188.409920962646340,30.746854231441368,0.028186049724527
4772,1,360470542003,0,1,0.009147668959400,0.000005031264722,0,188.452057691613530,30.872446999533739,0.018254945533057
4773,1,360470544001,0,1,0.012518383466181,0.000005021708058,0,188.737109531584310,30.823566392204366,0.018220463620006
4774,1,360470544002,0,1,0.010942586576932,0.000007439266679,0,188.650596300487250,30.717427848000888,0.026992819259996
4775,1,360470546002,0,1,0.009706345480900,0.000005820433690,3,188.833827628305870,30.743849139128205,0.021118874553459
4776,1,360470546003,0,1,0.009913771497390,0.000006072035934,1,188.807849267008490,30.923889281177114,0.022030933875045
4777,1,360470550001,0,1,0.009877333447321,0.000006098908884,2,188.939421605148620,30.591014596508881,0.022130015514508
4778,1,360470550003,0,1,0.013542098351562,0.000005777501496,2,188.843324981979980,30.497223733219908,0.020964207456743
4779,1,360470552002,0,1,0.013236974135473,0.000006631856579,3,188.716080313328260,30.502365974032625,0.024064307912357
4780,1,360470552003,1,1,0.013164939824964,0.000006775670122,4,188.657304641770620,30.439285955409666,0.024586449936211
4781,1,360470553001,1,1,0.009532479779906,0.000004755817150,3,188.633048521040820,37.965574971173439,0.017229188408334
4782,1,360470553003,0,1,0.011252675851050,0.000006007128581,0,188.548994125551900,38.000462221102957,0.021762249837430
4783,1,360470554001,0,1,0.012858462601536,0.000006774712109,0,188.573345511144540,30.428476888692664,0.024583054191978
4784,1,360470554003,0,1,0.010449449007584,0.000006680810599,3,188.472133861565170,30.520345915724505,0.024241824866901
4785,1,360470555001,0,1,0.022071562256663,0.000027863155330,4,188.339823171696370,38.048397148452047,0.100939790872554
4786,1,360470556001,0,1,0.013319111060225,0.000008908369206,0,188.609127228948520,30.131224592162791,0.032327429557955
4787,1,360470556003,0,1,0.012830773631751,0.000006322110742,2,188.470974775202930,30.090273484933316,0.022942395353143
4788,1,360470557001,0,1,0.013039205931497,0.000004742555004,0,188.449947229247300,38.217002132872118,0.017180192617235
4789,1,360470557002,0,1,0.020809791076556,0.000025312281456,4,188.563403101449380,38.337185865742377,0.091692817616367
4790,1,360470558002,0,1,0.015328819859790,0.000011376321893,2,188.720173838892580,30.164273800351438,0.041283030278429
4791,1,360470561001,0,1,0.022467860873373,0.000020063319661,3,188.586826970132880,38.629598866660700,0.072674270418033
4792,1,360470009002,0,1,0.011015752927557,0.000005770396652,3,186.826282005773980,36.133675048621740,0.020913020587286
4793,1,360470011001,3,1,0.018404577168101,0.000017963957844,14,187.056517221435370,36.337340262692614,0.065101957764348
4794,1,360470013001,1,1,0.022168143900419,0.000028860682414,13,187.019381981612180,36.625825593358471,0.104585449023416
4795,1,360470015001,0,1,0.012606629145888,0.000009039064335,2,187.263562737004210,36.560134343255115,0.032756254030855
4796,1,360470015003,0,1,0.016813207591858,0.000014897952728,3,187.271766675672670,36.271433048470080,0.053991386023787
4797,1,360470018000,0,1,0.103932605359294,0.000075446900554,0,185.757973064021770,34.097152520533875,0.273568293221309
4798,1,360470018001,0,1,0.146878189464701,0.000269516865229,16,185.613364328376520,33.673952452466914,0.977300979201420
4799,1,360470020002,0,1,0.010824992025870,0.000006967615097,3,185.512084939270640,33.138345207595947,0.025268273796912
4800,1,360470021001,0,1,0.017983196039694,0.000016201845716,4,186.843903666775820,37.020680966911179,0.058707496196843
4801,1,360470021002,0,1,0.015566964166359,0.000012594467823,1,187.034901173525470,36.994742452539313,0.045636265392860
4802,1,360470021003,1,1,0.022311289187307,0.000026793116701,3,187.290132811123980,37.018563546948641,0.097085006846104
4803,1,360470022002,0,1,0.012279555610732,0.000008930858576,1,185.341243506975730,32.928781290458389,0.032389528777151
4804,1,360470022003,0,1,0.017058315219228,0.000014054988843,2,185.163913896042860,32.718722790123564,0.050975490468676
4805,1,360470023002,0,1,0.007830181878465,0.000003769176778,2,187.372230838565740,36.835535915274818,0.013658128172531
4806,1,360470023003,0,1,0.017452251037321,0.000011180812338,6,187.286029653240860,36.722487074155175,0.040516249830753
4807,1,360470029011,0,1,0.009978423657566,0.000005416947839,2,187.509211563577370,36.454545579569775,0.019630672731097
4808,1,360470031002,1,1,0.010187114727662,0.000006343000025,2,187.444969487452430,36.174487118808692,0.022988026980806
4809,1,360470031003,0,1,0.018298261983604,0.000017553715513,4,187.675118085756250,36.207712224622036,0.063616959673691
4810,1,360470033001,1,1,0.009320630631524,0.000005232310135,0,187.678914010605750,36.000828793856151,0.018963435416172
4811,1,360470035001,2,1,0.015794008751596,0.000010924733470,1,187.640308831667340,35.783940837154596,0.039596286944818
4812,1,360470035002,0,1,0.008708253805709,0.000003227372682,1,187.736601803502370,35.800344370898507,0.011697450721370
