FID,Metro_Buff,CBG_id,Num_Metro,Bus_Buff,Num_Bus,Centroid_X,Centroid_Y,BlockGroup,BikeLength
953,1,360470229001,0,1,1,188.742201542000000,35.861567014300000,0.011730543613700,1.572852333140000
954,1,360470229002,0,1,3,188.761492073000000,35.735198320700000,0.017578755889100,1.572852333140000
955,1,360470245004,0,1,2,188.964716189999990,35.493959467899998,0.014631139684200,1.572852333140000
956,1,360471237003,0,1,5,188.787232851000000,36.593174411400000,0.059597773560700,1.572852333140000
957,1,360470315004,0,1,2,188.969341447000010,35.269943191800003,0.018676688361300,1.572852333140000
958,1,360470221001,0,1,3,188.822477127000010,35.258097043399999,0.023378844487900,1.572852333140000
959,1,360470227001,0,1,1,188.789424276000010,35.570629746199998,0.020501297814900,1.572852333140000
960,1,360470235001,0,1,3,188.636524930000010,36.229437697300000,0.031035471648300,1.572852333140000
961,1,360470241001,0,1,10,188.829625865000000,36.314774476399997,0.049748070881900,1.572852333140000
962,1,360470245003,0,1,2,188.944929961000010,35.556145089600001,0.009926133126160,1.572852333140000
963,1,360470247002,1,1,3,188.932633143999990,35.391819503500002,0.031952049336400,1.572852333140000
964,1,360470233003,0,1,0,188.718541530000010,36.034842598099999,0.027873247039500,1.572852333140000
965,0,360470563002,0,1,3,188.682373401000010,39.292429170299997,0.025669616834100,0.380833368897000
966,1,360470563003,0,1,2,188.687667016000010,39.167075029300001,0.017393761678500,0.380833368897000
967,1,360470563001,0,1,1,188.514619772999990,39.223889567999997,0.103177794295000,0.380833368897000
968,1,360470575001,0,1,2,188.836290522000010,39.208421480299997,0.019013881657000,0.380833368897000
969,0,360610002021,0,1,4,187.307181944000010,37.760782069900003,0.021257338880100,0.783550565097000
970,1,360610002011,0,1,1,187.139876974000000,37.744428151100003,0.009609320603580,0.783550565097000
971,1,360610006001,1,1,6,186.868084481000010,37.732285298800001,0.016135622577100,0.783550565097000
972,1,360610006003,0,1,0,187.002968342000000,37.757437877199997,0.008101740109180,0.783550565097000
973,1,360610008001,0,1,1,186.624776657000010,37.731736990199998,0.011660598782800,0.783550565097000
974,1,360610008006,0,1,4,186.760199195000010,37.606044690700003,0.040757145356900,0.783550565097000
975,1,360610014012,0,1,2,187.172198111000000,37.834328285900000,0.014086763589300,0.783550565097000
976,1,360610027001,0,1,5,186.463206711999990,37.667229089700001,0.022967326396600,0.783550565097000
977,1,360610014011,0,1,2,187.014878984000010,37.854083491399997,0.022024566523600,0.108826438181000
978,1,360610014012,0,1,2,187.172198111000000,37.834328285900000,0.014086763589300,0.108826438181000
979,1,360610065002,0,1,1,186.384023356999990,38.866318968000002,0.007707591464220,0.345136025036000
980,1,360610059002,0,1,1,186.625940705999990,38.973348101100001,0.006360644948320,0.345136025036000
981,1,360610063005,0,1,5,186.506440671000010,39.044578526000002,0.011651684380200,0.345136025036000
982,1,360610065001,0,1,0,186.483691040000000,38.940276734400001,0.037952604131400,0.345136025036000
983,1,360610021001,4,1,23,185.953046003999990,37.744687508799998,0.048448932674400,0.362356842928000
984,1,360610021002,0,1,5,185.802318952000010,37.838428308799998,0.045396897260900,0.362356842928000
985,1,360610071004,0,1,3,186.363045309000000,39.222490512400000,0.011953062493300,0.304107771789000
986,1,360610071003,0,1,0,186.435211135999990,39.263893108500000,0.019532732431400,0.304107771789000
987,1,360610073004,1,1,3,186.226047432999990,39.122796801800000,0.013507044974900,0.304107771789000
988,1,360610073006,0,1,4,186.286872206000000,39.216433048100001,0.015231263409800,0.304107771789000
989,1,360610075001,0,1,6,185.925471918000000,39.137432018500000,0.032187724154800,0.146322767459000
990,1,360610071004,0,1,3,186.363045309000000,39.222490512400000,0.011953062493300,0.449700514131000
991,1,360610069001,0,1,2,185.880632069000000,38.895015750299997,0.086566420455100,0.449700514131000
992,1,360610071003,0,1,0,186.435211135999990,39.263893108500000,0.019532732431400,0.449700514131000
993,1,360610071005,1,1,0,186.356206399999990,39.084325716400002,0.014397905032400,0.449700514131000
994,1,360610073003,0,1,0,186.134850429000010,39.042631297500002,0.013201825501100,0.449700514131000
995,1,360610073004,1,1,3,186.226047432999990,39.122796801800000,0.013507044974900,0.449700514131000
996,1,360610063003,0,1,3,186.549909719000000,39.133307730100000,0.009441002424380,0.449700514131000
997,1,360610030022,0,1,5,187.094868233999990,38.412379561400002,0.015996249677800,0.312811918624000
998,1,360610036022,1,1,3,186.884369638000010,38.502072705300002,0.019703476580300,0.312811918624000
999,1,360610043002,0,1,1,186.707276850000000,38.317224790799997,0.009890479102600,0.616085301382000
1000,1,360610049001,0,1,6,186.428053014000000,38.485468773599997,0.052748056803500,0.616085301382000
1001,1,360610037003,1,1,5,186.102206738000010,38.530018686299996,0.054899122074900,0.616085301382000
1002,1,360610043003,1,1,1,186.584248626000000,38.419124432499999,0.026840024976400,0.616085301382000
1003,1,360610049002,1,1,2,186.278425567000000,38.574689723799999,0.014043053841700,0.616085301382000
1004,1,360610049003,0,1,1,186.331187070000000,38.656736701200003,0.013260533883200,0.616085301382000
1005,1,360610055012,0,1,0,186.554201124999990,38.740870927300001,0.014765339280100,1.161693967540000
1006,1,360610065002,0,1,1,186.384023356999990,38.866318968000002,0.007707591464220,1.161693967540000
1007,1,360610065003,0,1,3,186.327445334999990,38.804881357799999,0.013917805758600,1.161693967540000
1008,1,360610067002,0,1,0,186.224203719999990,38.822037326500002,0.015581201129200,1.161693967540000
1009,1,360610073002,0,1,4,186.128378378000010,39.114580535800002,0.004636753895180,1.161693967540000
1010,1,360610073005,0,1,0,186.193678623000010,39.244552473900001,0.007766203409690,1.161693967540000
1011,1,360610077004,0,1,3,186.166497483000000,39.340673650299998,0.012024530345900,1.161693967540000
1012,1,360610067001,0,1,0,186.291403516000000,38.983537271199999,0.013412465722300,1.161693967540000
1013,1,360610067003,0,1,0,186.214147601000010,38.917683812500002,0.011164195546900,1.161693967540000
1014,1,360610067004,0,1,5,186.115385583000010,38.899650761499998,0.024870981286100,1.161693967540000
1015,1,360610073001,0,1,1,186.123471607000000,39.199542607399998,0.009499732458740,1.161693967540000
1016,1,360610073003,0,1,0,186.134850429000010,39.042631297500002,0.013201825501100,1.161693967540000
1017,1,360610073004,1,1,3,186.226047432999990,39.122796801800000,0.013507044974900,1.161693967540000
1018,1,360610055011,0,1,3,186.614175815000010,38.720899591100000,0.019867039527600,1.161693967540000
1019,1,360610055013,0,1,2,186.500973888000000,38.658661920699998,0.013386381450400,1.161693967540000
1020,1,360610055022,2,1,3,186.703009501000000,38.598599369399999,0.027522360832800,1.161693967540000
1021,1,360610065005,0,1,0,186.455007400000000,38.805401502700001,0.009570691962350,1.161693967540000
1022,1,360610067002,0,1,0,186.224203719999990,38.822037326500002,0.015581201129200,0.140361837782000
1023,1,360610067004,0,1,5,186.115385583000010,38.899650761499998,0.024870981286100,0.155767531032000
1024,1,360610069001,0,1,2,185.880632069000000,38.895015750299997,0.086566420455100,0.155767531032000
1025,1,360610045001,3,1,0,186.442939362999990,38.219620853999999,0.040524414153400,0.647939301051000
1026,1,360610031001,2,1,5,186.208252743999990,37.853990474299998,0.079496955293700,0.647939301051000
1027,1,360610037001,0,1,4,185.901735618000000,38.634408043999997,0.067669785172200,0.285765911669000
1028,1,360610037003,1,1,5,186.102206738000010,38.530018686299996,0.054899122074900,0.285765911669000
1029,1,360610077003,0,1,1,186.176562305000000,39.496920819700001,0.022155881073600,0.366389830813000
1030,1,360610083002,1,1,1,186.230190427999990,39.630431728799998,0.017719202244400,0.366389830813000
1031,1,360610036021,0,1,0,186.980004384000010,38.485968509400003,0.014645496586500,0.139886468971000
1032,1,360610036022,1,1,3,186.884369638000010,38.502072705300002,0.019703476580300,0.139886468971000
1033,1,360610150021,0,1,1,188.699355805000010,42.511626997599997,0.014356644965500,0.379559059580000
1034,1,360610150024,0,1,0,188.614982282999990,42.558301038400003,0.014303717751900,0.379559059580000
1035,1,360610154001,0,1,1,189.079472356999990,42.414265263399997,0.013683613293300,0.379559059580000
1036,1,360610148021,0,1,0,188.880410307999990,42.439687748200001,0.009482731398390,0.379559059580000
1037,1,360610148024,0,1,0,188.796070845999990,42.486390373900001,0.009592857671740,0.379559059580000
1038,1,360610158012,0,1,0,188.928602307999990,42.526218221900002,0.009517872840400,0.379559059580000
1039,0,360610152004,0,1,1,189.236232718999990,42.271570695599998,0.006853388754610,0.263738386003000
1040,0,360610154005,0,1,0,189.114144272000000,42.338481075300002,0.007033571522670,0.263738386003000
1041,0,360610152004,0,1,1,189.236232718999990,42.271570695599998,0.006853388754610,0.918463539722000
1042,0,360610152006,0,1,0,189.406162907000010,42.284777990300000,0.044282158506600,0.918463539722000
1043,0,360610154005,0,1,0,189.114144272000000,42.338481075300002,0.007033571522670,0.918463539722000
1044,1,360610150021,0,1,1,188.699355805000010,42.511626997599997,0.014356644965500,0.918463539722000
1045,1,360610150024,0,1,0,188.614982282999990,42.558301038400003,0.014303717751900,0.918463539722000
1046,1,360610154007,0,1,1,188.993209702000000,42.405530101799997,0.006643108555070,0.918463539722000
1047,1,360610148021,0,1,0,188.880410307999990,42.439687748200001,0.009482731398390,0.918463539722000
1048,1,360610148024,0,1,0,188.796070845999990,42.486390373900001,0.009592857671740,0.918463539722000
1049,1,360610154008,0,1,0,188.969077910000010,42.362359260600002,0.006666535482330,0.918463539722000
1050,0,360610002021,0,1,4,187.307181944000010,37.760782069900003,0.021257338880100,0.447876482291000
1051,1,360610002012,0,1,1,187.159357854000010,37.571360403000000,0.025225723696000,0.447876482291000
1052,1,360610002011,0,1,1,187.139876974000000,37.744428151100003,0.009609320603580,0.447876482291000
1053,1,360610006002,0,1,3,186.891825032000010,37.567732119200002,0.024867572824500,0.447876482291000
1054,1,360610006005,0,1,2,187.022634993999990,37.634058783900002,0.015354577146000,0.447876482291000
1055,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.102155966221000
1056,1,360610089003,0,1,2,186.172856424000000,39.880002585200003,0.015752761770000,0.102155966221000
1057,1,360610099001,1,1,25,186.164943467999990,40.386419590099997,0.363227157187000,0.170390593141000
1058,1,360610089004,0,1,1,186.218194877000000,39.962077352900003,0.016218425948900,0.170390593141000
1059,1,360610089002,0,1,0,186.321986718000010,39.797523511900003,0.015756569951400,0.333077040542000
1060,1,360610089001,0,1,0,186.355524054999990,39.858141662100003,0.007864946003810,0.333077040542000
1061,1,360610089004,0,1,1,186.218194877000000,39.962077352900003,0.016218425948900,0.333077040542000
1062,1,360610056003,0,1,1,187.004888470000000,39.552864246399999,0.009434186103970,1.258435295950000
1063,1,360610064002,0,1,1,187.305907674999990,39.359767949599998,0.012749414670000,1.258435295950000
1064,1,360610087005,0,1,1,186.504695521000000,39.775509198100004,0.007853787294640,1.258435295950000
1065,1,360610068003,0,1,1,187.173777715999990,39.459273892200002,0.009424812802630,1.258435295950000
1066,1,360610087001,0,1,0,186.643201494000010,39.673819747899998,0.031922674750800,1.258435295950000
1067,1,360610089001,0,1,0,186.355524054999990,39.858141662100003,0.007864946003810,1.258435295950000
1068,1,360610089004,0,1,1,186.218194877000000,39.962077352900003,0.016218425948900,1.258435295950000
1069,1,360610050001,0,1,1,187.139553204000010,39.397514577400003,0.017851512592200,1.258435295950000
1070,1,360610052001,1,1,0,186.962301085000010,39.376691029600003,0.031694906886800,1.258435295950000
1071,1,360610052002,0,1,1,186.863714192000000,39.390901436500002,0.033288898864400,1.258435295950000
1072,1,360610054001,0,1,4,186.768089046000000,39.524019014700002,0.044660713033800,1.258435295950000
1073,1,360610058001,1,1,15,186.908988630000010,39.777385408199997,0.067741413293200,1.258435295950000
1074,1,360610064002,0,1,1,187.305907674999990,39.359767949599998,0.012749414670000,0.753291048239000
1075,1,360610087001,0,1,0,186.643201494000010,39.673819747899998,0.031922674750800,0.753291048239000
1076,1,360610050001,0,1,1,187.139553204000010,39.397514577400003,0.017851512592200,0.753291048239000
1077,1,360610052001,1,1,0,186.962301085000010,39.376691029600003,0.031694906886800,0.753291048239000
1078,1,360610052002,0,1,1,186.863714192000000,39.390901436500002,0.033288898864400,0.753291048239000
1079,1,360610054001,0,1,4,186.768089046000000,39.524019014700002,0.044660713033800,0.753291048239000
1080,1,360610064004,0,1,0,187.416610225999990,39.271518514599997,0.020376743490500,0.128044361878000
1081,0,360610060002,0,1,3,187.554932278000000,39.211717015399998,0.013680052604000,0.453772015175000
1082,0,360610060003,0,1,3,187.692929326000010,39.130504154800001,0.011913102840000,0.453772015175000
1083,1,360610044001,0,1,0,187.506871297999990,39.125926966800002,0.015458599606000,0.453772015175000
1084,1,360610064004,0,1,0,187.416610225999990,39.271518514599997,0.020376743490500,0.453772015175000
1085,1,360610287001,0,1,9,189.946146206000010,48.096095978900003,0.193602063595000,0.072450023122100
1086,1,360610069001,0,1,2,185.880632069000000,38.895015750299997,0.086566420455100,0.181584314353000
1087,1,360610075001,0,1,6,185.925471918000000,39.137432018500000,0.032187724154800,0.181584314353000
1088,1,360610161002,0,1,1,187.709951729000010,42.302041610400003,0.008931733340630,0.152396330584000
